branch,beverage,conscount
Branch9,Cold_Lite,262
Branch9,SMALL_Lite,605
Branch9,ICY_MOCHA,256
Branch9,Double_Coffee,595
Branch9,MED_Espresso,238
Branch9,MED_Espresso,238
Branch9,Special_Lite,561
Branch9,Triple_LATTE,172
Branch9,Mild_cappuccino,431
Branch9,Mild_cappuccino,431
Branch9,LARGE_Espresso,950
Branch9,Cold_cappuccino,953
Branch9,Cold_cappuccino,953
Branch9,SMALL_cappuccino,960
Branch9,SMALL_cappuccino,960
Branch9,SMALL_cappuccino,960
Branch9,ICY_cappuccino,975
Branch9,ICY_cappuccino,975
Branch9,ICY_cappuccino,975
Branch9,Double_MOCHA,1006
Branch9,MED_Lite,33
Branch9,Special_cappuccino,160
Branch9,Special_cappuccino,160
Branch9,Triple_Coffee,415
Branch9,Mild_Espresso,926
Branch9,Mild_Espresso,926
Branch9,LARGE_Lite,913
Branch9,Cold_LATTE,888
Branch9,SMALL_LATTE,839
Branch9,ICY_Espresso,742
Branch9,Double_cappuccino,549
Branch9,Double_cappuccino,549
Branch9,Double_cappuccino,549
Branch9,MED_cappuccino,164
Branch9,MED_cappuccino,164
Branch9,Special_LATTE,431
Branch9,Triple_MOCHA,966
Branch9,Triple_MOCHA,966
Branch9,Mild_Lite,1001
Branch9,LARGE_cappuccino,36
Branch9,LARGE_cappuccino,36
Branch9,LARGE_cappuccino,36
Branch9,Cold_Coffee,179
Branch9,SMALL_Coffee,466
Branch9,ICY_Lite,1041
Branch9,Double_Espresso,120
Branch9,Double_Espresso,120
Branch9,MED_LATTE,351
Branch9,Special_Coffee,814
Branch9,Special_Coffee,814
Branch9,Triple_cappuccino,705
Branch9,Triple_cappuccino,705
Branch9,Triple_cappuccino,705
Branch9,Mild_cappuccino,488
Branch9,Mild_cappuccino,488
Branch9,LARGE_LATTE,55
Branch9,Cold_MOCHA,226
Branch9,Cold_MOCHA,226
Branch9,SMALL_MOCHA,569
Branch9,ICY_cappuccino,220
Branch9,ICY_cappuccino,220
Branch9,ICY_cappuccino,220
Branch9,Double_Lite,559
Branch9,Special_MOCHA,525
Branch9,Triple_Espresso,136
Branch9,Triple_Espresso,136
Branch9,Mild_LATTE,395
Branch9,Mild_LATTE,395
Branch9,LARGE_Coffee,914
Branch9,LARGE_Coffee,914
Branch9,Cold_cappuccino,917
Branch9,Cold_cappuccino,917
Branch9,SMALL_cappuccino,924
Branch9,SMALL_cappuccino,924
Branch9,SMALL_cappuccino,924
Branch9,ICY_LATTE,939
Branch9,Double_cappuccino,970
Branch9,Double_cappuccino,970
Branch9,Double_cappuccino,970
Branch9,MED_MOCHA,1033
Branch9,MED_MOCHA,1033
Branch9,Special_cappuccino,124
Branch9,Special_cappuccino,124
Branch9,Mild_Coffee,890
Branch9,LARGE_MOCHA,877
Branch9,Cold_Espresso,852
Branch9,Cold_Espresso,852
Branch9,SMALL_Espresso,803
Branch9,SMALL_Espresso,803
Branch9,ICY_Coffee,706
Branch9,ICY_Coffee,706
Branch9,Double_LATTE,513
Branch9,MED_cappuccino,128
Branch9,MED_cappuccino,128
Branch9,Special_Espresso,395
Branch9,Triple_cappuccino,930
Branch9,Triple_cappuccino,930
Branch9,Triple_cappuccino,930
Branch9,Mild_MOCHA,965
Branch9,Mild_MOCHA,965
Branch9,LARGE_cappuccino,1036
Branch9,LARGE_cappuccino,1036
Branch9,LARGE_cappuccino,1036
Branch9,Cold_Lite,143
Branch9,SMALL_Lite,430
Branch9,ICY_MOCHA,1005
Branch9,Double_Coffee,84
Branch9,MED_Espresso,315
Branch9,MED_Espresso,315
Branch9,Special_Lite,778
Branch9,Triple_LATTE,669
Branch9,Mild_cappuccino,452
Branch9,Mild_cappuccino,452
Branch9,LARGE_Espresso,19
Branch9,Cold_cappuccino,190
Branch9,Cold_cappuccino,190
Branch9,SMALL_cappuccino,533
Branch9,SMALL_cappuccino,533
Branch9,SMALL_cappuccino,533
Branch9,ICY_cappuccino,184
Branch9,ICY_cappuccino,184
Branch9,ICY_cappuccino,184
Branch9,Double_MOCHA,523
Branch9,MED_Lite,166
Branch9,Special_cappuccino,489
Branch9,Special_cappuccino,489
Branch9,Triple_Coffee,100
Branch9,Mild_Espresso,359
Branch9,Mild_Espresso,359
Branch9,LARGE_Lite,878
Branch9,Cold_LATTE,881
Branch9,SMALL_LATTE,888
Branch9,ICY_Espresso,903
Branch9,Double_cappuccino,934
Branch9,Double_cappuccino,934
Branch9,Double_cappuccino,934
Branch9,MED_cappuccino,997
Branch9,MED_cappuccino,997
Branch9,Special_LATTE,88
Branch9,Triple_MOCHA,343
Branch9,Triple_MOCHA,343
Branch9,Mild_Lite,854
Branch9,LARGE_cappuccino,841
Branch9,LARGE_cappuccino,841
Branch9,LARGE_cappuccino,841
Branch9,Cold_Coffee,816
Branch9,SMALL_Coffee,767
Branch9,ICY_Lite,670
Branch9,Double_Espresso,477
Branch9,Double_Espresso,477
Branch9,MED_LATTE,92
Branch9,Special_Coffee,359
Branch9,Special_Coffee,359
Branch9,Triple_cappuccino,894
Branch9,Triple_cappuccino,894
Branch9,Triple_cappuccino,894
Branch9,Mild_cappuccino,929
Branch9,Mild_cappuccino,929
Branch9,LARGE_LATTE,1000
Branch9,Cold_MOCHA,107
Branch9,Cold_MOCHA,107
Branch9,SMALL_MOCHA,394
Branch9,ICY_cappuccino,969
Branch9,ICY_cappuccino,969
Branch9,ICY_cappuccino,969
Branch9,Double_Lite,48
Branch9,Special_MOCHA,742
Branch9,Triple_Espresso,633
Branch9,Triple_Espresso,633
Branch9,Mild_LATTE,416
Branch9,Mild_LATTE,416
Branch9,LARGE_Coffee,1019
Branch9,LARGE_Coffee,1019
Branch9,Cold_cappuccino,154
Branch9,Cold_cappuccino,154
Branch9,SMALL_cappuccino,497
Branch9,SMALL_cappuccino,497
Branch9,SMALL_cappuccino,497
Branch9,ICY_LATTE,148
Branch9,Double_cappuccino,487
Branch9,Double_cappuccino,487
Branch9,Double_cappuccino,487
Branch9,MED_MOCHA,130
Branch9,MED_MOCHA,130
Branch9,Special_cappuccino,453
Branch9,Special_cappuccino,453
Branch9,Mild_Coffee,323
Branch9,LARGE_MOCHA,842
Branch9,Cold_Espresso,845
Branch9,Cold_Espresso,845
Branch9,SMALL_Espresso,852
Branch9,SMALL_Espresso,852
Branch9,ICY_Coffee,867
Branch9,ICY_Coffee,867
Branch9,Double_LATTE,898
Branch9,MED_cappuccino,961
Branch9,MED_cappuccino,961
Branch9,Special_Espresso,52
Branch9,Triple_cappuccino,307
Branch9,Triple_cappuccino,307
Branch9,Triple_cappuccino,307
Branch9,Mild_MOCHA,818
Branch9,Mild_MOCHA,818
Branch9,LARGE_cappuccino,805
Branch9,LARGE_cappuccino,805
Branch9,LARGE_cappuccino,805
Branch9,Cold_Lite,780
Branch9,SMALL_Lite,731
Branch9,ICY_MOCHA,634
Branch9,Double_Coffee,441
Branch9,MED_Espresso,56
Branch9,MED_Espresso,56
Branch9,Special_Lite,323
Branch9,Triple_LATTE,858
Branch9,Mild_cappuccino,893
Branch9,Mild_cappuccino,893
Branch9,LARGE_Espresso,964
Branch9,Cold_cappuccino,71
Branch9,Cold_cappuccino,71
Branch9,SMALL_cappuccino,358
Branch9,SMALL_cappuccino,358
Branch9,SMALL_cappuccino,358
Branch9,ICY_cappuccino,933
Branch9,ICY_cappuccino,933
Branch9,ICY_cappuccino,933
Branch9,Double_MOCHA,1048
Branch9,MED_Lite,243
Branch9,Special_cappuccino,706
Branch9,Special_cappuccino,706
Branch9,Triple_Coffee,597
Branch9,Mild_Espresso,380
Branch9,Mild_Espresso,380
Branch9,LARGE_Lite,983
Branch9,Cold_LATTE,118
Branch9,SMALL_LATTE,461
Branch9,ICY_Espresso,112
Branch9,Double_cappuccino,451
Branch9,Double_cappuccino,451
Branch9,Double_cappuccino,451
Branch9,MED_cappuccino,94
Branch9,MED_cappuccino,94
Branch9,Special_LATTE,417
Branch9,Triple_MOCHA,28
Branch9,Triple_MOCHA,28
Branch9,Mild_Lite,287
Branch9,LARGE_cappuccino,806
Branch9,LARGE_cappuccino,806
Branch9,LARGE_cappuccino,806
Branch9,Cold_Coffee,809
Branch9,SMALL_Coffee,816
Branch9,ICY_Lite,831
Branch9,Double_Espresso,862
Branch9,Double_Espresso,862
Branch9,MED_LATTE,925
Branch9,Special_Coffee,1052
Branch9,Special_Coffee,1052
Branch9,Triple_cappuccino,271
Branch9,Triple_cappuccino,271
Branch9,Triple_cappuccino,271
Branch9,Mild_cappuccino,782
Branch9,Mild_cappuccino,782
Branch9,LARGE_LATTE,769
Branch9,Cold_MOCHA,744
Branch9,Cold_MOCHA,744
Branch9,SMALL_MOCHA,695
Branch9,ICY_cappuccino,598
Branch9,ICY_cappuccino,598
Branch9,ICY_cappuccino,598
Branch9,Double_Lite,405
Branch9,Special_MOCHA,287
Branch9,Triple_Espresso,822
Branch9,Triple_Espresso,822
Branch9,Mild_LATTE,857
Branch9,Mild_LATTE,857
Branch9,LARGE_Coffee,928
Branch9,LARGE_Coffee,928
Branch9,Cold_cappuccino,35
Branch9,Cold_cappuccino,35
Branch9,SMALL_cappuccino,322
Branch9,SMALL_cappuccino,322
Branch9,SMALL_cappuccino,322
Branch9,ICY_LATTE,897
Branch9,Double_cappuccino,1012
Branch9,Double_cappuccino,1012
Branch9,Double_cappuccino,1012
Branch9,MED_MOCHA,207
Branch9,MED_MOCHA,207
Branch9,Special_cappuccino,670
Branch9,Special_cappuccino,670
Branch9,Mild_Coffee,344
Branch9,LARGE_MOCHA,947
Branch9,Cold_Espresso,82
Branch9,Cold_Espresso,82
Branch9,SMALL_Espresso,425
Branch9,SMALL_Espresso,425
Branch9,ICY_Coffee,76
Branch9,ICY_Coffee,76
Branch9,Double_LATTE,415
Branch9,MED_cappuccino,58
Branch9,MED_cappuccino,58
Branch9,Special_Espresso,381
Branch9,Triple_cappuccino,1028
Branch9,Triple_cappuccino,1028
Branch9,Triple_cappuccino,1028
Branch9,Mild_MOCHA,251
Branch9,Mild_MOCHA,251
Branch9,LARGE_cappuccino,770
Branch9,LARGE_cappuccino,770
Branch9,LARGE_cappuccino,770
Branch9,Cold_Lite,773
Branch9,SMALL_Lite,780
Branch9,ICY_MOCHA,795
Branch9,Double_Coffee,826
Branch9,MED_Espresso,889
Branch9,MED_Espresso,889
Branch9,Special_Lite,1016
Branch9,Triple_LATTE,235
Branch9,Mild_cappuccino,746
Branch9,Mild_cappuccino,746
Branch9,LARGE_Espresso,733
Branch9,Cold_cappuccino,708
Branch9,Cold_cappuccino,708
Branch9,SMALL_cappuccino,659
Branch9,SMALL_cappuccino,659
Branch9,SMALL_cappuccino,659
Branch9,ICY_cappuccino,562
Branch9,ICY_cappuccino,562
Branch9,ICY_cappuccino,562
Branch9,Double_MOCHA,369
Branch9,MED_Lite,1020
Branch9,Special_cappuccino,251
Branch9,Special_cappuccino,251
Branch9,Triple_Coffee,786
Branch9,Mild_Espresso,821
Branch9,Mild_Espresso,821
Branch9,LARGE_Lite,892
Branch9,Cold_LATTE,1035
Branch9,SMALL_LATTE,286
Branch9,ICY_Espresso,861
Branch9,Double_cappuccino,976
Branch9,Double_cappuccino,976
Branch9,Double_cappuccino,976
Branch9,MED_cappuccino,171
Branch9,MED_cappuccino,171
Branch9,Special_LATTE,634
Branch9,Triple_MOCHA,525
Branch9,Triple_MOCHA,525
Branch9,Mild_Lite,308
Branch9,LARGE_cappuccino,911
Branch9,LARGE_cappuccino,911
Branch9,LARGE_cappuccino,911
Branch9,Cold_Coffee,46
Branch9,SMALL_Coffee,389
Branch9,ICY_Lite,40
Branch9,Double_Espresso,379
Branch9,Double_Espresso,379
Branch9,MED_LATTE,22
Branch9,Special_Coffee,345
Branch9,Special_Coffee,345
Branch9,Triple_cappuccino,992
Branch9,Triple_cappuccino,992
Branch9,Triple_cappuccino,992
Branch9,Mild_cappuccino,215
Branch9,Mild_cappuccino,215
Branch9,LARGE_LATTE,734
Branch9,Cold_MOCHA,737
Branch9,Cold_MOCHA,737
Branch9,SMALL_MOCHA,744
Branch9,ICY_cappuccino,759
Branch9,ICY_cappuccino,759
Branch9,ICY_cappuccino,759
Branch9,Double_Lite,790
Branch9,Special_MOCHA,980
Branch9,Triple_Espresso,199
Branch9,Triple_Espresso,199
Branch9,Mild_LATTE,710
Branch9,Mild_LATTE,710
Branch9,LARGE_Coffee,697
Branch9,LARGE_Coffee,697
Branch9,Cold_cappuccino,672
Branch9,Cold_cappuccino,672
Branch9,SMALL_cappuccino,623
Branch9,SMALL_cappuccino,623
Branch9,SMALL_cappuccino,623
Branch9,ICY_LATTE,526
Branch9,Double_cappuccino,333
Branch9,Double_cappuccino,333
Branch9,Double_cappuccino,333
Branch9,MED_MOCHA,984
Branch9,MED_MOCHA,984
Branch9,Special_cappuccino,215
Branch9,Special_cappuccino,215
Branch9,Mild_Coffee,785
Branch9,LARGE_MOCHA,856
Branch9,Cold_Espresso,999
Branch9,Cold_Espresso,999
Branch9,SMALL_Espresso,250
Branch9,SMALL_Espresso,250
Branch9,ICY_Coffee,825
Branch9,ICY_Coffee,825
Branch9,Double_LATTE,940
Branch9,MED_cappuccino,135
Branch9,MED_cappuccino,135
Branch9,Special_Espresso,598
Branch9,Triple_cappuccino,489
Branch9,Triple_cappuccino,489
Branch9,Triple_cappuccino,489
Branch9,Mild_MOCHA,272
Branch9,Mild_MOCHA,272
Branch9,LARGE_cappuccino,875
Branch9,LARGE_cappuccino,875
Branch9,LARGE_cappuccino,875
Branch9,Cold_Lite,1046
Branch9,SMALL_Lite,353
Branch9,ICY_MOCHA,1040
Branch9,Double_Coffee,343
Branch9,MED_Espresso,1022
Branch9,MED_Espresso,1022
Branch9,Special_Lite,309
Branch9,Triple_LATTE,956
Branch9,Mild_cappuccino,179
Branch9,Mild_cappuccino,179
Branch9,LARGE_Espresso,698
Branch9,Cold_cappuccino,701
Branch9,Cold_cappuccino,701
Branch9,SMALL_cappuccino,708
Branch9,SMALL_cappuccino,708
Branch9,SMALL_cappuccino,708
Branch9,ICY_cappuccino,723
Branch9,ICY_cappuccino,723
Branch9,ICY_cappuccino,723
Branch9,Double_MOCHA,754
Branch9,MED_Lite,817
Branch9,Special_cappuccino,944
Branch9,Special_cappuccino,944
Branch9,Triple_Coffee,163
Branch9,Mild_Espresso,674
Branch9,Mild_Espresso,674
Branch9,LARGE_Lite,661
Branch9,Cold_LATTE,636
Branch9,SMALL_LATTE,587
Branch9,ICY_Espresso,490
Branch9,Double_cappuccino,297
Branch9,Double_cappuccino,297
Branch9,Double_cappuccino,297
Branch9,MED_cappuccino,948
Branch9,MED_cappuccino,948
Branch9,Special_LATTE,179
Branch9,Triple_MOCHA,714
Branch9,Triple_MOCHA,714
Branch9,Mild_Lite,749
Branch9,LARGE_cappuccino,820
Branch9,LARGE_cappuccino,820
Branch9,LARGE_cappuccino,820
Branch9,Cold_Coffee,963
Branch9,SMALL_Coffee,214
Branch9,ICY_Lite,789
Branch9,Double_Espresso,904
Branch9,Double_Espresso,904
Branch9,MED_LATTE,99
Branch9,Special_Coffee,562
Branch9,Special_Coffee,562
Branch9,Triple_cappuccino,453
Branch9,Triple_cappuccino,453
Branch9,Triple_cappuccino,453
Branch9,Mild_cappuccino,236
Branch9,Mild_cappuccino,236
Branch9,LARGE_LATTE,839
Branch9,Cold_MOCHA,1010
Branch9,Cold_MOCHA,1010
Branch9,SMALL_MOCHA,317
Branch9,ICY_cappuccino,1004
Branch9,ICY_cappuccino,1004
Branch9,ICY_cappuccino,1004
Branch9,Double_Lite,307
Branch9,Special_MOCHA,273
Branch9,Triple_Espresso,920
Branch9,Triple_Espresso,920
Branch9,Mild_LATTE,143
Branch9,Mild_LATTE,143
Branch9,LARGE_Coffee,662
Branch9,LARGE_Coffee,662
Branch9,Cold_cappuccino,665
Branch9,Cold_cappuccino,665
Branch9,SMALL_cappuccino,672
Branch9,SMALL_cappuccino,672
Branch9,SMALL_cappuccino,672
Branch9,ICY_LATTE,687
Branch9,Double_cappuccino,718
Branch9,Double_cappuccino,718
Branch9,Double_cappuccino,718
Branch9,MED_MOCHA,781
Branch9,MED_MOCHA,781
Branch9,Special_cappuccino,908
Branch9,Special_cappuccino,908
Branch9,Mild_Coffee,638
Branch9,LARGE_MOCHA,625
Branch9,Cold_Espresso,600
Branch9,Cold_Espresso,600
Branch9,SMALL_Espresso,551
Branch9,SMALL_Espresso,551
Branch9,ICY_Coffee,454
Branch9,ICY_Coffee,454
Branch9,Double_LATTE,261
Branch9,MED_cappuccino,912
Branch9,MED_cappuccino,912
Branch9,Special_Espresso,143
Branch9,Triple_cappuccino,678
Branch9,Triple_cappuccino,678
Branch9,Triple_cappuccino,678
Branch9,Mild_MOCHA,713
Branch9,Mild_MOCHA,713
Branch9,LARGE_cappuccino,784
Branch9,LARGE_cappuccino,784
Branch9,LARGE_cappuccino,784
Branch9,Cold_Lite,927
Branch9,SMALL_Lite,178
Branch9,ICY_MOCHA,753
Branch9,Double_Coffee,868
Branch9,MED_Espresso,63
Branch9,MED_Espresso,63
Branch9,Special_Lite,526
Branch9,Triple_LATTE,417
Branch9,Mild_cappuccino,200
Branch9,Mild_cappuccino,200
Branch9,LARGE_Espresso,803
Branch9,Cold_cappuccino,974
Branch9,Cold_cappuccino,974
Branch9,SMALL_cappuccino,281
Branch9,SMALL_cappuccino,281
Branch9,SMALL_cappuccino,281
Branch9,ICY_cappuccino,968
Branch9,ICY_cappuccino,968
Branch9,ICY_cappuccino,968
Branch9,Double_MOCHA,271
Branch9,MED_Lite,950
Branch9,Special_cappuccino,237
Branch9,Special_cappuccino,237
Branch9,Triple_Coffee,884
Branch9,Mild_Espresso,107
Branch9,Mild_Espresso,107
Branch9,LARGE_Lite,626
Branch9,Cold_LATTE,629
Branch9,SMALL_LATTE,636
Branch9,ICY_Espresso,651
Branch9,Double_cappuccino,682
Branch9,Double_cappuccino,682
Branch9,Double_cappuccino,682
Branch9,MED_cappuccino,745
Branch9,MED_cappuccino,745
Branch9,Special_LATTE,872
Branch9,Triple_MOCHA,91
Branch9,Triple_MOCHA,91
Branch9,Mild_Lite,602
Branch9,LARGE_cappuccino,589
Branch9,LARGE_cappuccino,589
Branch9,LARGE_cappuccino,589
Branch9,Cold_Coffee,564
Branch9,SMALL_Coffee,515
Branch9,ICY_Lite,418
Branch9,Double_Espresso,225
Branch9,Double_Espresso,225
Branch9,MED_LATTE,876
Branch9,Special_Coffee,107
Branch9,Special_Coffee,107
Branch9,Triple_cappuccino,642
Branch9,Triple_cappuccino,642
Branch9,Triple_cappuccino,642
Branch9,Mild_cappuccino,677
Branch9,Mild_cappuccino,677
Branch9,LARGE_LATTE,748
Branch9,Cold_MOCHA,891
Branch9,Cold_MOCHA,891
Branch9,SMALL_MOCHA,142
Branch9,ICY_cappuccino,717
Branch9,ICY_cappuccino,717
Branch9,ICY_cappuccino,717
Branch9,Double_Lite,832
Branch9,Special_MOCHA,490
Branch9,Triple_Espresso,381
Branch9,Triple_Espresso,381
Branch9,Mild_LATTE,164
Branch9,Mild_LATTE,164
Branch9,LARGE_Coffee,767
Branch9,LARGE_Coffee,767
Branch9,Cold_cappuccino,938
Branch9,Cold_cappuccino,938
Branch9,SMALL_cappuccino,245
Branch9,SMALL_cappuccino,245
Branch9,SMALL_cappuccino,245
Branch9,ICY_LATTE,932
Branch9,Double_cappuccino,235
Branch9,Double_cappuccino,235
Branch9,Double_cappuccino,235
Branch9,MED_MOCHA,914
Branch9,MED_MOCHA,914
Branch9,Special_cappuccino,201
Branch9,Special_cappuccino,201
Branch9,Mild_Coffee,71
Branch9,LARGE_MOCHA,590
Branch9,Cold_Espresso,593
Branch9,Cold_Espresso,593
Branch9,SMALL_Espresso,600
Branch9,SMALL_Espresso,600
Branch9,ICY_Coffee,615
Branch9,ICY_Coffee,615
Branch9,Double_LATTE,646
Branch9,MED_cappuccino,709
Branch9,MED_cappuccino,709
Branch9,Special_Espresso,836
Branch9,Triple_cappuccino,55
Branch9,Triple_cappuccino,55
Branch9,Triple_cappuccino,55
Branch9,Mild_MOCHA,566
Branch9,Mild_MOCHA,566
Branch9,LARGE_cappuccino,553
Branch9,LARGE_cappuccino,553
Branch9,LARGE_cappuccino,553
Branch9,Cold_Lite,528
Branch9,SMALL_Lite,479
Branch9,ICY_MOCHA,382
Branch9,Double_Coffee,189
Branch9,MED_Espresso,840
Branch9,MED_Espresso,840
Branch9,Special_Lite,71
Branch9,Triple_LATTE,606
Branch9,Mild_cappuccino,641
Branch9,Mild_cappuccino,641
Branch9,LARGE_Espresso,712
Branch9,Cold_cappuccino,855
Branch9,Cold_cappuccino,855
Branch9,SMALL_cappuccino,106
Branch9,SMALL_cappuccino,106
Branch9,SMALL_cappuccino,106
Branch9,ICY_cappuccino,681
Branch9,ICY_cappuccino,681
Branch9,ICY_cappuccino,681
Branch9,Double_MOCHA,796
Branch9,MED_Lite,1027
Branch9,Special_cappuccino,454
Branch9,Special_cappuccino,454
Branch9,Triple_Coffee,345
Branch9,Mild_Espresso,128
Branch9,Mild_Espresso,128
Branch9,LARGE_Lite,731
Branch9,Cold_LATTE,902
Branch9,SMALL_LATTE,209
Branch9,ICY_Espresso,896
Branch9,Double_cappuccino,199
Branch9,Double_cappuccino,199
Branch9,Double_cappuccino,199
Branch9,MED_cappuccino,878
Branch9,MED_cappuccino,878
Branch9,Special_LATTE,165
Branch9,Triple_MOCHA,812
Branch9,Triple_MOCHA,812
Branch9,Mild_Lite,35
Branch9,LARGE_cappuccino,554
Branch9,LARGE_cappuccino,554
Branch9,LARGE_cappuccino,554
Branch9,Cold_Coffee,557
Branch9,SMALL_Coffee,564
Branch9,ICY_Lite,579
Branch9,Double_Espresso,610
Branch9,Double_Espresso,610
Branch9,MED_LATTE,673
Branch9,Special_Coffee,800
Branch9,Special_Coffee,800
Branch9,Triple_cappuccino,19
Branch9,Triple_cappuccino,19
Branch9,Triple_cappuccino,19
Branch9,Mild_cappuccino,530
Branch9,Mild_cappuccino,530
Branch9,LARGE_LATTE,517
Branch9,Cold_MOCHA,492
Branch9,Cold_MOCHA,492
Branch9,SMALL_MOCHA,443
Branch9,ICY_cappuccino,346
Branch9,ICY_cappuccino,346
Branch9,ICY_cappuccino,346
Branch9,Double_Lite,153
Branch9,Special_MOCHA,35
Branch9,Triple_Espresso,570
Branch9,Triple_Espresso,570
Branch9,Mild_LATTE,605
Branch9,Mild_LATTE,605
Branch9,LARGE_Coffee,676
Branch9,LARGE_Coffee,676
Branch9,Cold_cappuccino,819
Branch9,Cold_cappuccino,819
Branch9,SMALL_cappuccino,70
Branch9,SMALL_cappuccino,70
Branch9,SMALL_cappuccino,70
Branch9,ICY_LATTE,645
Branch9,Double_cappuccino,760
Branch9,Double_cappuccino,760
Branch9,Double_cappuccino,760
Branch9,MED_MOCHA,991
Branch9,MED_MOCHA,991
Branch9,Special_cappuccino,418
Branch9,Special_cappuccino,418
Branch9,Mild_Coffee,92
Branch9,LARGE_MOCHA,695
Branch9,Cold_Espresso,866
Branch9,Cold_Espresso,866
